1, 2.298263 -5.03313 24. 40. 37.701737 29.03313 16.129517 20.94541;
2, 1.981541 -4.975259 24. 40. 38.018459 28.975259 16.097366 21.121366;
3, 2.104577 -4.837558 24. 40. 37.895423 28.837558 16.020866 21.053013;
4, 1.787916 -4.716063 24. 40. 38.212084 28.716063 15.953368 21.228935;
5, 1.724102 -4.652614 24. 40. 38.275898 28.652614 15.918119 21.264388;
6, 1.59824 -4.403595 24. 40. 38.40176 28.403595 15.779775 21.334311;
7, 1.59824 -4.21284 24. 40. 38.40176 28.21284 15.6738 21.334311;
8, 1.536055 -4.153853 24. 40. 38.463945 28.153853 15.641029 21.368858;
9, 1.66399 -4.090166 24. 40. 38.33601 28.090166 15.605648 21.297783;
10, 1.536055 -4.21753 24. 40. 38.463945 28.21753 15.676405 21.368858;
11, 1.536055 -4.47213 24. 40. 38.463945 28.47213 15.81785 21.368858;
12, 1.600025 -4.47213 24. 40. 38.399975 28.47213 15.81785 21.33332;
13, 1.727952 -4.344851 24. 40. 38.272048 28.344851 15.74714 21.262249;
14, 1.727952 -4.344851 24. 40. 38.272048 28.344851 15.74714 21.262249;
15, 1.855862 -4.281196 24. 40. 38.144138 28.281196 15.711775 21.191188;
16, 1.218875 -4.418331 24. 40. 38.781125 28.418331 15.787961 21.545069;
17, 1.090605 -4.482105 24. 40. 38.909395 28.482105 15.823392 21.61633;
18, 1.089386 -4.668158 24. 40. 38.910614 28.668158 15.926754 21.617008;
19, 1.216152 -4.662965 24. 40. 38.783848 28.662965 15.923869 21.546582;
20, 1.344124 -4.726554 24. 40. 38.655876 28.726554 15.959196 21.475487;
21, 1.536055 -4.662965 24. 40. 38.463945 28.662965 15.923869 21.368858;
22, 1.472082 -4.790131 24. 40. 38.527918 28.790131 15.994517 21.404399;
23, 1.347133 -4.991889 24. 40. 38.652867 28.991889 16.106605 21.473815;
24, 1.281571 -5.049933 24. 40. 38.718429 29.049933 16.138851 21.510238;
25, 1.345627 -5.177093 24. 40. 38.654373 29.177093 16.209496 21.474652;
26, 1.600025 -5.361774 24. 40. 38.399975 29.361774 16.312097 21.33332;
27, 1.726025 -5.419207 24. 40. 38.273975 29.419207 16.344004 21.26332;
28, 1.787916 -5.603061 24. 40. 38.212084 29.603061 16.446145 21.228935;
29, 1.656591 -6.09525 24. 40. 38.343409 30.09525 16.719583 21.301894;
30, 1.656591 -6.158257 24. 40. 38.343409 30.158257 16.754587 21.301894;
31, 1.654751 -6.277298 24. 40. 38.345249 30.277298 16.820721 21.302916;
32, 1.59114 -6.40307 24. 40. 38.40886 30.40307 16.890594 21.338255;
33, 1.527525 -6.528779 24. 40. 38.472475 30.528779 16.960433 21.373597;
34, 1.525831 -6.458816 24. 40. 38.474169 30.458816 16.921565 21.374538;
35, 1.652916 -6.458816 24. 40. 38.347084 30.458816 16.921565 21.303936;
36, 1.778012 -6.577123 24. 40. 38.221988 30.577123 16.98729 21.234438;
37, 1.966193 -6.695111 24. 40. 38.033807 30.695111 17.052839 21.129893;
38, 2.090621 -6.750284 24. 40. 37.909379 30.750284 17.083491 21.060766;
39, 2.090621 -6.875261 24. 40. 37.909379 30.875261 17.152923 21.060766;
40, 2.092934 -6.882802 24. 40. 37.907066 30.882802 17.157112 21.059481;
41, 2.153915 -6.875261 24. 40. 37.846085 30.875261 17.152923 21.025603;
42, 2.346355 -6.820254 24. 40. 37.653645 30.820254 17.122364 20.918692;
43, 2.473032 -6.882802 24. 40. 37.526968 30.882802 17.157112 20.848316;
44, 2.599684 -6.882802 24. 40. 37.400316 30.882802 17.157112 20.777953;
45, 2.732354 -6.960599 24. 40. 37.267646 30.960599 17.200333 20.704248;
46, 2.668903 -6.897933 24. 40. 37.331097 30.897933 17.165518 20.739498;
47, 2.605447 -6.897933 24. 40. 37.394553 30.897933 17.165518 20.774752;
48, 2.671865 -6.905523 24. 40. 37.328135 30.905523 17.169735 20.737853;
49, 2.608338 -6.905523 24. 40. 37.391662 30.905523 17.169735 20.773146;
50, 2.544804 -6.905523 24. 40. 37.455196 30.905523 17.169735 20.808442;
51, 2.732354 -6.772552 24. 40. 37.267646 30.772552 17.095862 20.704248;
52, 2.862405 -6.717224 24. 40. 37.137595 30.717224 17.065124 20.631997;
53, 2.865584 -6.535978 24. 40. 37.134416 30.535978 16.964432 20.630231;
54, 2.738423 -6.410133 24. 40. 37.261577 30.410133 16.894518 20.700876;
55, 2.741468 -6.543194 24. 40. 37.258532 30.543194 16.968441 20.699185;
56, 2.738423 -6.724628 24. 40. 37.261577 30.724628 17.069238 20.700876;
57, 2.798899 -6.780007 24. 40. 37.201101 30.780007 17.100004 20.667279;
58, 2.608338 -6.842773 24. 40. 37.391662 30.842773 17.134874 20.773146;
59, 2.608338 -6.842773 24. 40. 37.391662 30.842773 17.134874 20.773146;
60, 2.608338 -6.654425 24. 40. 37.391662 30.654425 17.030236 20.773146;
61, 2.671865 -6.59161 24. 40. 37.328135 30.59161 16.995339 20.737853;
62, 2.735385 -6.465932 24. 40. 37.264615 30.465932 16.925518 20.702564;
63, 2.792702 -6.514427 24. 40. 37.207298 30.514427 16.95246 20.670721;
64, 2.982781 -6.514427 24. 40. 37.017219 30.514427 16.95246 20.565122;
65, 2.852911 -6.507275 24. 40. 37.147089 30.507275 16.948486 20.637271;
66, 2.726311 -6.632515 24. 40. 37.273689 30.632515 17.018064 20.707605;
67, 2.599684 -6.695111 24. 40. 37.400316 30.695111 17.052839 20.777953;
68, 2.473032 -6.695111 24. 40. 37.526968 30.695111 17.052839 20.848316;
69, 2.346355 -6.632515 24. 40. 37.653645 30.632515 17.018064 20.918692;
70, 2.283008 -6.632515 24. 40. 37.716992 30.632515 17.018064 20.953884;
71, 2.092934 -6.695111 24. 40. 37.907066 30.695111 17.052839 21.059481;
72, 2.156298 -6.632515 24. 40. 37.843702 30.632515 17.018064 21.024279;
73, 2.156298 -6.632515 41. 332. 30.156298 47.632515 26.462508 16.753499;
74, 2.346355 -6.569903 41. 332. 30.346355 47.569903 26.427724 16.859086;
75, 2.412365 -6.639802 41. 332. 30.412365 47.639802 26.466557 16.895758;
76, 2.412365 -6.827744 41. 332. 30.412365 47.827744 26.570969 16.895758;
77, 2.473032 -6.882802 41. 332. 30.473032 47.882802 26.601557 16.929462;
78, 2.415039 -6.897933 41. 332. 30.415039 47.897933 26.609963 16.897244;
79, 2.354167 -6.717224 41. 332. 30.354167 47.717224 26.509569 16.863426;
80, 2.04313 -5.982405 41. 332. 30.04313 46.982405 26.101336 16.690628;
81, 1.285885 -5.066847 41. 332. 29.285885 46.066847 25.592693 16.269936;
82, 180.648115 -3.560194 41. 332. 151.351885 44.560194 24.755663 84.084381;
83, 359.736573 -0.98776 41. 332. 27.736573 41.98776 23.326534 15.409207;
84, 359.193071 1.74792 41. 332. 27.193071 39.25208 21.806711 15.107261;
85, 358.765073 4.041727 41. 332. 26.765073 36.958273 20.532374 14.869485;
86, 358.505666 7.711164 41. 332. 26.505666 33.288836 18.493798 14.72537;
87, 358.483064 8.887271 41. 332. 26.483064 32.112729 17.840405 14.712813;
88, 358.639481 8.18023 41. 332. 26.639481 32.81977 18.233206 14.799712;
89, 359.792908 4.615074 41. 332. 27.792908 36.384926 20.213848 15.440504;
90, 180.407792 3.123363 41. 332. 151.592208 37.876637 21.042576 84.217893;
91, 180.602387 1.338443 41. 332. 151.397613 39.661557 22.034198 84.109785;
92, 180.401131 1.470514 41. 332. 151.598869 39.529486 21.960826 84.221594;
93, 359.661776 2.771304 41. 332. 27.661776 38.228696 21.238164 15.367653;
94, 358.015297 7.752508 41. 332. 26.015297 33.247492 18.470829 14.452943;
95, 355.914383 14.796762 41. 332. 23.914383 26.203238 14.557354 13.285768;
96, 353.534645 23.357246 41. 332. 21.534645 17.642754 9.80153 11.963692;
97, 350.362462 34.919402 41. 332. 18.362462 6.080598 3.37811 10.201368;
98, 347.610091 43.863593 41. 332. 15.610091 2.863593 1.590885 8.672273;
99, 342.645975 53.972627 41. 332. 10.645975 12.972627 7.207015 5.914431;
100, 333.434949 63.012974 41. 332. 1.434949 22.012974 12.22943 0.797194;
101, 325.949208 66.176995 41. 332. 6.050792 25.176995 13.987219 3.361551;
102, 316.665106 70.577878 41. 332. 15.334894 29.577878 16.432154 8.519386;
103, 309.271049 74.697175 41. 332. 22.728951 33.697175 18.720653 12.627195;
104, 301.197234 77.86666 41. 332. 30.802766 36.86666 20.481478 17.112648;
105, 289.316353 82.360947 41. 332. 42.683647 41.360947 22.978304 23.713137;
106, 283.609732 84.82591 41. 332. 48.390268 43.82591 24.347728 26.883482;
107, 278.678169 86.713357 41. 332. 53.321831 45.713357 25.396309 29.62324;
108, 277.16045 87.143299 41. 332. 54.83955 46.143299 25.635166 30.466417;
109, 276.80905 87.251912 41. 332. 55.19095 46.251912 25.695507 30.661639;
110, 277.650651 86.92743 41. 332. 54.349349 45.92743 25.515239 30.194083;
111, 279.045801 86.367049 41. 332. 52.954199 45.367049 25.203916 29.418999;
112, 280.97224 85.696744 41. 332. 51.02776 44.696744 24.831525 28.348755;
113, 283.08506 85.152196 41. 332. 48.91494 44.152196 24.528998 27.174967;
114, 283.888001 84.897835 41. 332. 48.111999 43.897835 24.387686 26.728888;
115, 285.281608 84.30073 41. 332. 46.718392 43.30073 24.055961 25.954662;
116, 285.780753 84.086071 41. 332. 46.219247 43.086071 23.936706 25.677359;
117, 286.151941 83.949242 41. 332. 45.848059 42.949242 23.86069 25.471144;
118, 285.862658 84.03891 40. 333. 47.137342 44.03891 24.466061 26.187412;
